species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Ailuropoda_melanoleuca,Placentalia,Laurasiatheria,Carnivora,Ursidae,extant,0,0,0,117999.99,Mixed,Herbivore,Solitary,Terrestrial,AMNH:Mammals:M-89030,https://n2t.net/ark:/87602/m4/M88366,"56, 101"
Ailurus_fulgens,Placentalia,Laurasiatheria,Carnivora,Ailuridae,extant,0,0,0,5170.08,Mixed,Herbivore,Social,Arboreal,ummz:mammals:114841,https://n2t.net/ark:/87602/m4/674780,"56, 101"
Albacetus_salvifactus,Placentalia,Laurasiatheria,Artiodactyla,Cetotheriidae,extinct,8.085,8.37,7.8,7200000,NA,NA,NA,Aquatic,MCFEA:G1621,https://n2t.net/ark:/87602/m4/635996,60
Alcelaphus_buselaphus,Placentalia,Laurasiatheria,Artiodactyla,Bovidae,extant,0,0,0,160937.86,Diurnal,Herbivore,Social,Terrestrial,zmh-s:7487,https://n2t.net/ark:/87602/m4/M72021,"56, 101"
Alces_alces,Placentalia,Laurasiatheria,Artiodactyla,Cervidae,extant,0,0,0,461900.76,Mixed,Herbivore,Solitary,Terrestrial,OUVC:9742,https://www.digimorph.org/specimens/Alces_alces/,"56, 101"
Alouatta_palliata,Placentalia,Euarchontoglires,Primates,Atelidae,extant,0,0,0,6576.99,Diurnal,Herbivore,Social,Arboreal,du:ea:LP39,https://n2t.net/ark:/87602/m4/M3792,"56, 101"
Alticola_argentatus,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,37.69,NA,Herbivore,NA,Terrestrial,uf:mammals:27219,https://n2t.net/ark:/87602/m4/M133925,"56, 101"
Amblysomus_hottentotus,Placentalia,Afrotheria,Afrosoricida,Chrysochloridae,extant,0,0,0,62.6,Mixed,Omnivore,Solitary,Fossorial,USNM:MAMM:344218,https://n2t.net/ark:/87602/m4/M71503,"56, 101"
Amynodon_advenus,Placentalia,Laurasiatheria,Perissodactyla,Amynodontidae,extinct,42.8,45.9,39.7,263000,NA,NA,NA,NA,YPM:VP:011453,https://n2t.net/ark:/87602/m4/392380,"76, 105, 111"
Anomalurus_beecrofti,Placentalia,Euarchontoglires,Rodentia,Anomaluridae,extant,0,0,0,479.07,Nocturnal,Herbivore,Social,Arboreal,AMNH:Mammals:M-50483,https://n2t.net/ark:/87602/m4/M114569,"56, 101"
Anoplotherium_sp,Placentalia,Laurasiatheria,Artiodactyla,Anoplotheriidae,extinct,35.805,37.71,33.9,256658,NA,Herbivore,NA,Terrestrial,not numbered,https://doi.org/10.18563/m3.sf.1071,"81, 112"
