spp.names	lnCsize	lnMass	lnMassSq
Octodon_degus	5.00549184242842	5.31453514457087	28.2442838028789
Odobenus_rosmarus	6.67502530052127	13.8576081385786	192.033303322399
Odocoileus_hemionus	6.45540382967901	11.3452233612972	128.714093117723
Okapia_johnstoni	6.67930482353958	12.3458395444148	152.419754056436
Oligoryzomys_flavescens	4.32015690597067	3.05870707271538	9.35568895667909
Orcaella_heinsohni	6.8295683901796	12.154779298511	147.738659795513
Ornithorhynchus_anatinus	5.48645646203588	7.30266487315078	53.3289142495504
Orycteropus_afer	6.28284742447808	10.9362306573498	119.601140990758
Oryctolagus_cuniculus	5.51459504647971	7.37184772153793	54.3441388295439
Otolemur_garnettii	5.45305381434695	6.69847764990454	44.8696028262706
Otospermophilus_variegatus	5.35284458301401	6.57169495751223	43.1871746145917
Oxydactylus_sp	6.27326844994408	12.4292161968444	154.485415267899
Palaeolama_sp	6.65391490658978	13.837171261888	191.467308530819
Palaeosyops_sp	6.40464400604867	12.1600287070288	147.866298155764
Pan_troglodytes	6.45915497104375	10.7144177687525	114.798748123358
Panthera_pardus	6.35022912564092	10.8666616794694	118.084336056049
Papio_hamadryas	6.21020892275469	9.54731819505274	91.151284717585
Paracynarctus_sinclairi	6.05891685868192	9.41434187776203	88.6298329913839
Paramylodon_harlani	6.68478519973732	13.9108207377686	193.510933598333
Paramys_delicatus	5.51890371213398	7.90279434272525	62.4541584234102
Parapithecus_grangeri	5.51001893128886	7.92479591395644	62.8023902778606
Patriomanis_americana	5.46372653835637	8.00636756765025	64.1019216283217
Pedetes_capensis	5.57582281992524	7.84355447724433	61.5213468374996
Pekania_pennanti	5.89943989941249	8.22951111896446	67.7248532571596
Perameles_bougainville	5.01964531058632	5.44155153463394	29.610483104077
Peromyscus_polionotus	4.37521033647263	2.65815943148875	7.06581156321257
Petaurista_leucogenys	5.50143180399324	7.07233707929808	50.0179517632145
Petauroides_volans	5.21228117661449	7.136618442087	50.9313227879362
Petaurus_australis	5.19740589584194	6.34062381900505	40.2035104141342
Petinomys_setosus	4.77484856127168	3.78077471881819	14.2942574744548
Petromus_typicus	4.90882784423114	5.41164605185504	29.2859129905582
Phacochoerus_africanus	6.31481196772892	11.3205534511106	128.154930439453
Phalanger_orientalis	5.42982216942779	7.81903346903275	61.1372843898543
Phascogale_tapoatafa	4.94271250223796	5.26087507107217	27.6768065134286
